"valores y media","sexo","periodo","características sociodemográficas","Satisfacción con la vida","Valor de la vida","Satisfacción con el tiempo de ocio","Satisfacción con la vivienda y el entorno","Satisfacción con la economía doméstica","Estado de ánimo","Relaciones personales","Confianza en las personas","Confianza en los poderes públicos"
"Alto","Mujer","2024","-Gipuzkoa (residencia)",58.5,65.5,43.4,49.7,46.1,18.5,66.4,35.5,5.1
"Alto","Mujer","2024","-35-49",57.4,68.7,27.5,40.9,41.6,16.1,62.2,30.9,6.7
"Alto","Mujer","2024","-50-64",53.9,63.5,36.0,44.7,41.2,17.7,63.4,35.9,5.4
"Alto","Mujer","2024","-Primarios ",50.9,58.8,49.7,48.2,39.9,22.3,59.8,30.9,6.4
"Alto","Mujer","2024","-Medios generales",54.9,67.9,43.7,40.8,42.6,18.3,68.3,35.4,7.4
"Alto","Mujer","2024","-Medios profesionales",52.8,67.6,39.7,41.8,40.0,13.1,65.0,28.6,5.8
"Alto","Mujer","2024","-Superiores profesionales",54.5,62.3,30.6,41.0,38.4,14.4,63.6,31.8,4.0
"Alto","Mujer","2024","-Superiores generales",64.9,71.4,35.0,45.3,52.3,19.5,69.1,39.8,6.1
"Alto","Mujer","2024","-Ocupados",59.4,68.9,27.0,42.9,44.0,16.6,66.0,34.0,6.2
"Alto","Mujer","2024","-Parados",45.1,61.4,44.4,41.9,27.4,14.7,50.7,31.2,7.4
"Alto","Mujer","2024","-Inactivos",53.6,60.4,56.6,48.1,45.1,22.8,63.8,33.9,5.8
"MEDIA","Hombre","2024","-Araba/Álava (residencia)",7.50,7.63,6.90,7.60,7.07,6.65,7.46,6.28,4.27
"MEDIA","Hombre","2024","-Bizkaia (residencia)",7.40,7.62,6.78,7.46,7.00,6.63,7.43,6.51,4.56
"MEDIA","Hombre","2024","-Gipuzkoa (residencia)",7.45,7.78,6.92,7.44,7.22,6.68,7.43,6.55,4.28
"MEDIA","Hombre","2024","-35-49",7.56,7.71,6.03,7.34,6.95,6.61,7.45,6.39,4.31
"MEDIA","Hombre","2024","-50-64",7.27,7.57,6.50,7.45,6.75,6.48,7.35,6.31,4.37
"MEDIA","Hombre","2024","-Primarios ",7.22,7.52,7.17,7.43,6.85,6.57,7.31,6.24,4.40
"MEDIA","Hombre","2024","-Medios generales",7.56,7.68,6.97,7.52,7.13,6.66,7.50,6.87,4.60
"MEDIA","Hombre","2024","-Medios profesionales",7.25,7.57,6.78,7.44,6.81,6.74,7.39,6.30,4.43
"MEDIA","Hombre","2024","-Superiores profesionales",7.55,7.74,6.47,7.48,7.18,6.68,7.52,6.52,4.10
"MEDIA","Hombre","2024","-Superiores generales",7.70,7.90,6.60,7.52,7.48,6.68,7.56,6.78,4.66
"MEDIA","Hombre","2024","-Ocupados",7.60,7.82,6.18,7.48,7.14,6.69,7.50,6.51,4.33
"MEDIA","Hombre","2024","-Parados",6.64,7.09,7.05,7.31,5.40,6.24,7.20,6.40,4.12
"MEDIA","Hombre","2024","-Inactivos",7.28,7.52,7.80,7.49,7.19,6.63,7.37,6.47,4.61
"MEDIA","Mujer","2024","-Araba/Álava (residencia)",7.38,7.70,6.54,7.23,6.98,6.19,7.48,6.62,4.71
"MEDIA","Mujer","2024","-Bizkaia (residencia)",7.34,7.69,6.58,7.09,6.90,6.25,7.49,6.42,4.75
"MEDIA","Mujer","2024","-Gipuzkoa (residencia)",7.42,7.82,6.76,7.27,7.08,6.32,7.52,6.63,4.36
"MEDIA","Mujer","2024","-35-49",7.43,7.87,5.75,7.05,6.85,6.11,7.43,6.34,4.47
"MEDIA","Mujer","2024","-50-64",7.27,7.69,6.42,7.15,6.91,6.17,7.52,6.57,4.49
"MEDIA","Mujer","2024","-Primarios ",7.20,7.53,7.03,7.22,6.77,6.27,7.39,6.29,4.58
"MEDIA","Mujer","2024","-Medios generales",7.47,7.77,6.67,7.12,6.97,6.20,7.54,6.44,4.63
"MEDIA","Mujer","2024","-Medios profesionales",7.33,7.84,6.38,7.03,6.83,6.09,7.52,6.35,4.66
"MEDIA","Mujer","2024","-Superiores profesionales",7.26,7.67,6.15,7.08,6.93,6.11,7.56,6.46,4.25
"MEDIA","Mujer","2024","-Superiores generales",7.63,8.00,6.33,7.18,7.31,6.38,7.61,6.94,4.81
"MEDIA","Mujer","2024","-Ocupados",7.48,7.91,5.91,7.11,7.13,6.20,7.55,6.60,4.56
"MEDIA","Mujer","2024","-Parados",7.13,7.60,6.93,6.99,5.72,5.96,7.25,6.11,4.37
"MEDIA","Mujer","2024","-Inactivos",7.28,7.57,7.34,7.24,6.94,6.36,7.47,6.48,4.71
